,Election Year,State,State Vote,County,County Vote
0,2020,Delaware,Blue,Kent,Blue
1,2020,Delaware,Blue,New Castle,Blue
2,2020,Delaware,Blue,Sussex,Red
3,2020,D.C.,Blue,Ward 1,Blue
4,2020,D.C.,Blue,Ward 2,Blue
5,2020,D.C.,Blue,Ward 3,Blue
6,2020,D.C.,Blue,Ward 4,Blue
7,2020,D.C.,Blue,Ward 5,Blue
8,2020,D.C.,Blue,Ward 6,Blue
9,2020,D.C.,Blue,Ward 7,Blue
10,2020,D.C.,Blue,Ward 8,Blue
11,2020,Florida,Red,Alachua,Blue
12,2020,Florida,Red,Baker,Red
13,2020,Florida,Red,Bay,Red
14,2020,Florida,Red,Bradford,Red
15,2020,Florida,Red,Brevard,Red
16,2020,Florida,Red,Broward,Blue
17,2020,Florida,Red,Calhoun,Red
18,2020,Florida,Red,Charlotte,Red
19,2020,Florida,Red,Citrus,Red
20,2020,Florida,Red,Clay,Red
21,2020,Florida,Red,Collier,Red
22,2020,Florida,Red,Columbia,Red
23,2020,Florida,Red,Miami-Dade,Blue
24,2020,Florida,Red,DeSoto,Red
25,2020,Florida,Red,Dixie,Red
26,2020,Florida,Red,Duval,Blue
27,2020,Florida,Red,Escambia,Red
28,2020,Florida,Red,Flagler,Red
29,2020,Florida,Red,Franklin,Red
30,2020,Florida,Red,Gadsden,Blue
31,2020,Florida,Red,Gilchrist,Red
32,2020,Florida,Red,Glades,Red
33,2020,Florida,Red,Gulf,Red
34,2020,Florida,Red,Hamilton,Red
35,2020,Florida,Red,Hardee,Red
36,2020,Florida,Red,Hendry,Red
37,2020,Florida,Red,Hernando,Red
38,2020,Florida,Red,Highlands,Red
39,2020,Florida,Red,Hillsborough,Blue
40,2020,Florida,Red,Holmes,Red
41,2020,Florida,Red,Indian River,Red
42,2020,Florida,Red,Jackson,Red
43,2020,Florida,Red,Jefferson,Red
44,2020,Florida,Red,Lafayette,Red
45,2020,Florida,Red,Lake,Red
46,2020,Florida,Red,Lee,Red
47,2020,Florida,Red,Leon,Blue
48,2020,Florida,Red,Levy,Red
49,2020,Florida,Red,Liberty,Red
50,2020,Florida,Red,Madison,Red
51,2020,Florida,Red,Manatee,Red
52,2020,Florida,Red,Marion,Red
53,2020,Florida,Red,Martin,Red
54,2020,Florida,Red,Monroe,Red
55,2020,Florida,Red,Nassau,Red
56,2020,Florida,Red,Okaloosa,Red
57,2020,Florida,Red,Okeechobee,Red
58,2020,Florida,Red,Orange,Blue
59,2020,Florida,Red,Osceola,Blue
60,2020,Florida,Red,Palm Beach,Blue
61,2020,Florida,Red,Pasco,Red
62,2020,Florida,Red,Pinellas,Blue
63,2020,Florida,Red,Polk,Red
64,2020,Florida,Red,Putnam,Red
65,2020,Florida,Red,St. Johns,Red
66,2020,Florida,Red,St. Lucie,Red
67,2020,Florida,Red,Santa Rosa,Red
68,2020,Florida,Red,Sarasota,Red
69,2020,Florida,Red,Seminole,Blue
70,2020,Florida,Red,Sumter,Red
71,2020,Florida,Red,Suwannee,Red
72,2020,Florida,Red,Taylor,Red
73,2020,Florida,Red,Union,Red
74,2020,Florida,Red,Volusia,Red
75,2020,Florida,Red,Wakulla,Red
76,2020,Florida,Red,Walton,Red
77,2020,Florida,Red,Washington,Red
78,2020,Hawaii,Blue,Hawaii,Blue
79,2020,Hawaii,Blue,Honolulu,Blue
80,2020,Hawaii,Blue,Kauai,Blue
81,2020,Hawaii,Blue,Maui,Blue
82,2020,Idaho,Red,Ada,Red
83,2020,Idaho,Red,Adams,Red
84,2020,Idaho,Red,Bannock,Red
85,2020,Idaho,Red,Bear Lake,Red
86,2020,Idaho,Red,Benewah,Red
87,2020,Idaho,Red,Bingham,Red
88,2020,Idaho,Red,Blaine,Blue
89,2020,Idaho,Red,Boise,Red
90,2020,Idaho,Red,Bonner,Red
91,2020,Idaho,Red,Bonneville,Red
92,2020,Idaho,Red,Boundary,Red
93,2020,Idaho,Red,Butte,Red
94,2020,Idaho,Red,Camas,Red
95,2020,Idaho,Red,Canyon,Red
96,2020,Idaho,Red,Caribou,Red
97,2020,Idaho,Red,Cassia,Red
98,2020,Idaho,Red,Clark,Red
