,User ID,Trump,Biden,Democratic,Republican,Label
0,16262497,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
1,76436538,Dislike,Swing,Non-mentioned,Non-mentioned,Counterhate
2,6418232,Dislike,Dislike,Non-mentioned,Non-mentioned,Counterhate
3,438082633,Dislike,Dislike,Non-mentioned,Non-mentioned,Counterhate
4,22527235,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
5,1241256510090592256,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
6,1174670492483117063,Dislike,Swing,Non-mentioned,Non-mentioned,Counterhate
7,2589232609,Dislike,Dislike,Non-mentioned,Non-mentioned,Counterhate
8,264269791,Dislike,Like,Non-mentioned,Non-mentioned,Counterhate
9,729265706,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
10,894982777132765184,Dislike,Like,Non-mentioned,Non-mentioned,Counterhate
11,268630665,Dislike,Non-mentioned,Non-mentioned,Swing,Counterhate
12,1094010063419854849,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
13,1571243850,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
14,869724682190151680,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
15,961968703180038144,Dislike,Like,Non-mentioned,Non-mentioned,Counterhate
16,772910889469108224,Dislike,Swing,Non-mentioned,Non-mentioned,Counterhate
17,1152669538896502784,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
18,1222267608474406912,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
19,270086952,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
20,825786537279422464,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
21,961367952,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
22,305523871,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
23,894704757327241216,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
24,2338235377,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
25,49372065,Dislike,Dislike,Non-mentioned,Non-mentioned,Counterhate
26,1174764218459013121,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
27,25852018,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
28,31024851,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
29,3873958527,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
30,17220153,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
31,507510394,Dislike,Like,Non-mentioned,Non-mentioned,Counterhate
32,847422670635323395,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
33,1226579971654782982,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
34,1225806864572657665,Dislike,Swing,Non-mentioned,Non-mentioned,Counterhate
35,3978122893,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
36,796500564607729665,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
37,1019972762117529606,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
38,1636253708,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
39,935565630526259200,Dislike,Swing,Non-mentioned,Non-mentioned,Counterhate
40,1158387977422196736,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
41,83177576,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
42,2478414883,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
43,1146261251502170112,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
44,2769570061,Dislike,Dislike,Swing,Non-mentioned,Counterhate
45,21322204,Dislike,Non-mentioned,Like,Dislike,Counterhate
46,52488555,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
47,976208854731186178,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
48,2338771375,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
49,34011605,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
50,2337698256,Dislike,Dislike,Non-mentioned,Non-mentioned,Counterhate
51,948635671,Dislike,Dislike,Non-mentioned,Non-mentioned,Counterhate
52,1375717166,Dislike,Non-mentioned,Like,Non-mentioned,Counterhate
53,55640665,Dislike,Dislike,Non-mentioned,Non-mentioned,Counterhate
54,181923289,Dislike,Like,Non-mentioned,Non-mentioned,Counterhate
55,2854784098,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
56,752590395310166016,Dislike,Like,Non-mentioned,Non-mentioned,Counterhate
57,1067894973343899649,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
58,16078801,Dislike,Like,Non-mentioned,Non-mentioned,Counterhate
59,18144637,Dislike,Dislike,Non-mentioned,Non-mentioned,Counterhate
60,632145690,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
61,217252833,Dislike,Non-mentioned,Like,Non-mentioned,Counterhate
62,312784568,Dislike,Dislike,Non-mentioned,Non-mentioned,Counterhate
63,543048231,Dislike,Dislike,Non-mentioned,Non-mentioned,Counterhate
64,928465335216349184,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
65,1125698603295469568,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
66,443239700,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
67,1170741360791392257,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
68,4708795155,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
69,476305630,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
70,834967830038786049,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
71,1163814113212063745,Dislike,Non-mentioned,Non-mentioned,Dislike,Counterhate
72,735854468009361408,Dislike,Non-mentioned,Dislike,Non-mentioned,Counterhate
73,1239259166511902722,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
74,2565306723,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
75,984551133522812928,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
76,25620768,Dislike,Like,Non-mentioned,Non-mentioned,Counterhate
77,1130751233092808705,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
78,1943767142,Dislike,Dislike,Non-mentioned,Non-mentioned,Counterhate
79,1877983224,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
80,418044381,Dislike,Non-mentioned,Non-mentioned,Like,Counterhate
81,1158617264905523200,Dislike,Non-mentioned,Non-mentioned,Like,Counterhate
82,33956968,Dislike,Dislike,Dislike,Non-mentioned,Counterhate
83,1030765576539582464,Dislike,Non-mentioned,Non-mentioned,Like,Counterhate
84,969394258066128896,Dislike,Dislike,Non-mentioned,Non-mentioned,Counterhate
85,1002590943487320071,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
