,User ID,Trump,Biden,Democratic,Republican,Label
0,1478273586,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Hate
1,1373196578,Dislike,Dislike,Dislike,Like,Hate
2,1459222338,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Hate
3,247780919,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Hate
4,355860891,Dislike,Dislike,Non-mentioned,Non-mentioned,Hate
5,1241645329121980423,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Hate
6,382567012,Dislike,Swing,Non-mentioned,Non-mentioned,Hate
7,45544343,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Hate
8,1087177086731571200,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Hate
9,754292900482191360,Dislike,Non-mentioned,Like,Non-mentioned,Hate
10,361486066,Dislike,Swing,Non-mentioned,Non-mentioned,Hate
11,1195842176892190720,Dislike,Swing,Non-mentioned,Non-mentioned,Hate
12,1193685932232327168,Dislike,Swing,Dislike,Non-mentioned,Hate
13,1119263921737588736,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Hate
14,1091062829442977792,Dislike,Swing,Non-mentioned,Dislike,Hate
15,1249786952297168899,Dislike,Like,Non-mentioned,Non-mentioned,Hate
16,1024605935845736449,Dislike,Dislike,Non-mentioned,Non-mentioned,Hate
17,186882219,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Hate
18,1010905860850290688,Dislike,Like,Non-mentioned,Like,Hate
19,421423313,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Hate
20,399941839,Dislike,Swing,Non-mentioned,Non-mentioned,Hate
21,464436519,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Hate
22,1250508390704599040,Dislike,Non-mentioned,Dislike,Non-mentioned,Hate
23,211408235,Dislike,Dislike,Non-mentioned,Non-mentioned,Hate
24,15246913,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Hate
25,786599426244616192,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Hate
26,1135541087538491392,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Hate
27,3142634480,Dislike,Dislike,Non-mentioned,Non-mentioned,Hate
28,1167260582463991808,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Hate
29,1109928419213471744,Dislike,Non-mentioned,Non-mentioned,Like,Hate
30,437994065,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Hate
31,845491946,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Hate
32,1103737384431165445,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Hate
33,766354991187714048,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Hate
34,792636776670236672,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Hate
35,1189918545725001728,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Hate
36,1094255854797369344,Dislike,Non-mentioned,Non-mentioned,Like,Hate
37,4231065676,Dislike,Dislike,Non-mentioned,Non-mentioned,Hate
38,906676548807229440,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Hate
39,804587931247603712,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Hate
40,1677669816,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Hate
41,435027007,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Hate
42,81504120,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Hate
43,907596583730122752,Dislike,Like,Non-mentioned,Non-mentioned,Hate
44,1205179567662600192,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Hate
45,1186731868604923904,Dislike,Swing,Non-mentioned,Non-mentioned,Hate
