,User ID,State,County,Trump,Biden,Democratic,Republican,State Vote,County Vote,State Vote Change,County Vote Change,Label
0,247780919.0,Florida,Miami-Dade,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Red,Blue,Non-change,Non-change,Hate
1,355860891.0,Kansas,Decatur,Dislike,Dislike,Non-mentioned,Non-mentioned,Red,Red,Non-change,Non-change,Hate
2,186882219.0,Georgia,Fulton,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Blue,Blue,Change,Non-change,Hate
3,1.01e+18,Pennsylvania,Philadelphia,Dislike,Like,Non-mentioned,Like,Blue,Blue,Change,Non-change,Hate
4,399941839.0,Kansas,Decatur,Dislike,Swing,Non-mentioned,Non-mentioned,Red,Red,Non-change,Non-change,Hate
5,3142634480.0,New York,Madison,Dislike,Dislike,Non-mentioned,Non-mentioned,Blue,Red,Non-change,Non-change,Hate
6,1.11e+18,Kansas,Decatur,Dislike,Non-mentioned,Non-mentioned,Like,Red,Red,Non-change,Non-change,Hate
7,7.66e+17,Kansas,Decatur,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Red,Red,Non-change,Non-change,Hate
8,7.93e+17,Texas,Dallas,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Red,Blue,Non-change,Non-change,Hate
9,1347808039.0,Texas,Coleman,Dislike,Dislike,Non-mentioned,Non-mentioned,Red,Red,Non-change,Non-change,Hate
10,7.15e+17,Texas,Bexar,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Red,Blue,Non-change,Non-change,Hate
11,9.65e+17,Idaho,Owyhee,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Red,Red,Non-change,Non-change,Hate
12,8.49e+17,Virginia,Prince Edward,Dislike,Like,Non-mentioned,Dislike,Blue,Blue,Non-change,Non-change,Hate
13,9.68e+17,Kansas,Decatur,Dislike,Non-mentioned,Dislike,Non-mentioned,Red,Red,Non-change,Non-change,Hate
14,9.19e+17,North Carolina,Chatham,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Red,Blue,Non-change,Non-change,Hate
15,7.5e+17,Kansas,Decatur,Dislike,Like,Non-mentioned,Non-mentioned,Red,Red,Non-change,Non-change,Hate
