,Unnamed: 0,User ID,Trump,Biden,Democratic,Republican,Label
0,0,1053408722,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
1,1,757693393,Dislike,Non-mentioned,Non-mentioned,Dislike,Neutral
2,2,802655750438977536,Dislike,Non-mentioned,Non-mentioned,Dislike,Neutral
3,3,42300493,Dislike,Dislike,Non-mentioned,Non-mentioned,Neutral
4,4,915867089432399872,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
5,5,697681753146720256,Dislike,Dislike,Non-mentioned,Non-mentioned,Neutral
6,6,49251091,Dislike,Swing,Non-mentioned,Like,Neutral
7,7,739599276360273920,Dislike,Dislike,Non-mentioned,Non-mentioned,Neutral
8,8,29701286,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
9,9,6791922,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
10,10,25978066,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
11,11,732304508,Dislike,Dislike,Non-mentioned,Non-mentioned,Neutral
12,12,80152648,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
13,13,12344712,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
14,14,170426702,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
15,15,41591399,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
16,16,251467804,Dislike,Swing,Non-mentioned,Dislike,Neutral
17,17,1868899226,Dislike,Dislike,Non-mentioned,Non-mentioned,Neutral
18,18,370147470,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
19,19,455183124,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
20,20,259501153,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
21,21,9806742,Dislike,Non-mentioned,Dislike,Dislike,Neutral
22,22,760496930090848257,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
23,23,851870218569777152,Dislike,Like,Non-mentioned,Non-mentioned,Neutral
24,24,125088004,Dislike,Like,Non-mentioned,Non-mentioned,Neutral
25,25,1108402099396722688,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
26,26,160922264,Dislike,Like,Non-mentioned,Non-mentioned,Neutral
27,27,165097255,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
28,28,160926051,Dislike,Like,Non-mentioned,Non-mentioned,Neutral
29,29,164842591,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
30,30,36531976,Dislike,Swing,Non-mentioned,Non-mentioned,Neutral
31,31,20204745,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
32,32,113070794,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
33,33,1025817504,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
34,34,12206852,Dislike,Dislike,Non-mentioned,Non-mentioned,Neutral
35,35,23013488,Dislike,Dislike,Non-mentioned,Non-mentioned,Neutral
36,36,65404941,Dislike,Like,Dislike,Non-mentioned,Neutral
37,37,1234334627977977857,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
38,38,981723721,Dislike,Dislike,Non-mentioned,Non-mentioned,Neutral
39,39,40187316,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
40,40,15932729,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
41,41,258615545,Dislike,Dislike,Non-mentioned,Non-mentioned,Neutral
42,42,2873972363,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
43,43,1214100265181204480,Dislike,Like,Non-mentioned,Non-mentioned,Neutral
44,44,2791173686,Dislike,Like,Non-mentioned,Non-mentioned,Neutral
45,45,965866288538181632,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
46,46,26276020,Dislike,Non-mentioned,Non-mentioned,Dislike,Neutral
47,47,725759308684791810,Dislike,Dislike,Non-mentioned,Non-mentioned,Neutral
48,48,24554901,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
